id,desc,,,,,
1001,"立体夏日清七彩线条穿戴甲立体猫咪卡通美甲贴片短款可爱假指甲30,T1099立体夏日清七彩线条（短短T）TSM-1099立体夏日清七彩线条（短短T）【S、M、S码】商品属性

款式
穿戴式
品牌
海鲤
风格
可爱,甜美
适用人群
女士
图案
猫爪
是否进口
否
产地
浙江
货号
T1099
颜色
T1099立体夏日清七彩线条（短短T）,TSM-1099立体夏日清七彩线条（短短T）【S、M、S码】
品牌类型
国货品牌
特殊用途化妆品
否,价格
¥
3
.00
登
",,,,,
1002,"新款元气夏天穿戴甲预制甲片半成品彩虹夏天纯欲高级感夏季
商品复购率28.57%100+人已加购
价格
¥
3
.20
登录查看更多优惠
	满200元包邮



浙江金华
送至
选择收货地址


承诺48小时发货·常发中通快递

运费 ¥4 起

7天无理由退货
晚发必赔


颜色

T1136淡紫（短短T）
库存99373个





T1138浅粉（短短T）
库存98921个





TSM-1136淡紫（短短T）【S、M、S码】商品属性

款式
穿戴式
品牌
海鲤
风格
甜美
适用人群
女士
图案
猫眼
是否进口
否
产地
浙江
货号
T1136
是否跨境出口专供货源
否
颜色
T1136淡紫（短短T）,T1137果绿（短短T）,T1138浅粉（短短T）,TSM-1138浅粉（短短T）【S、M、S码】,TSM-1136淡紫（短短T）【S、M、S码】
品牌类型
国货品牌
特殊用途化妆品
否
",,,,,
1003,"30片手工穿戴美甲典雅冰咖高级重工显白气质可拆卸产品美甲贴片
价格
¥
8
.00
登录查看更多优惠
	满200元包邮



浙江金华
送至
北京


2件以内
承诺48小时发货·常发中通快递

运费 ¥4 起

7天无理由退货
晚发必赔


颜色

T293典雅冰咖（长水滴甲）
库存169244个





TS-293典雅冰咖（长水滴甲）【全S码】商品属性

款式
穿戴式
品牌
海鲤
风格
甜美,法式,爆闪,欧美
适用人群
女士
图案
星星
是否进口
否
产地
浙江
颜色
T293典雅冰咖（长水滴甲）,TS-293典雅冰咖（长水滴甲）【全S码】
品牌类型
国货品牌
特殊用途化妆品
否
",,,,,
1004,"复古老钱风黑金花花指甲30片条装新款小红书热销招财猫穿戴甲
200+人已加购
价格
¥
4
.20
登录查看更多优惠
	满200元包邮



浙江金华
送至
选择收货地址


承诺15天发货·常发中通快递

运费 ¥4 起

延期必赔
品质保障
破损包赔
退货包运费
晚发必赔



颜色
T1439-S黑金花花（豆豆甲）
库存466个




T1439-M黑金花花（豆豆甲）
库存284个




T1439-XS黑金花花（豆豆甲）商品属性

款式
穿戴式
品牌
开莘（美妆）
风格
法式
适用人群
女士
图案
花花
是否进口
否
产地
浙江
是否跨境出口专供货源
否
颜色
T1439-S黑金花花（豆豆甲）,T1439-M黑金花花（豆豆甲）,T1439-XS黑金花花（豆豆甲）
品牌类型
国货品牌
特殊用途化妆品
否
卖完下架
卖完下架
",,,,,
1005,"鎏金小可爱乐园彩绘圣小猫咪冬新年氛围感美甲可爱多巴胺美甲指甲
价格
¥
5
.60
登录查看更多优惠
	满200元包邮



浙江金华
送至
选择收货地址


承诺48小时发货·常发中通快递

运费 ¥4 起

7天无理由退货
晚发必赔


颜色

T1069鎏金小可爱乐园【短短T】商品属性

款式
穿戴式
品牌
海鲤
风格
简约
适用人群
女士
是否进口
否
产地
浙江
货号
T1069
是否跨境出口专供货源
否
颜色
T1069鎏金小可爱乐园【短短T】
品牌类型
国货品牌
特殊用途化妆品
否
",,,,,
1006,"卡通清新可爱鎏金小奶兔穿戴甲卡通ins风少女心手绘短款30片
价格
¥
5
.20
登录查看更多优惠
	满200元包邮



浙江金华
送至
选择收货地址


预计明天发货
承诺48小时发货·常发中通快递

运费 ¥4 起

7天无理由退货
晚发必赔


颜色

T1013鎏金小奶兔【短短T】商品属性

款式
穿戴式
品牌
海鲤
风格
可爱,小清新
适用人群
女士
是否进口
否
产地
浙江
颜色
T1013鎏金小奶兔【短短T】
品牌类型
国货品牌
特殊用途化妆品
否
",,,,,
1007,"优雅复古蓝色蝴蝶钻轻奢玻璃珠猫眼渐变穿戴甲批发美甲甲片
商品复购率20%200+人已加购
价格
¥
8
.80
登录查看更多优惠
	满200元包邮



浙江金华
送至
北京


承诺48小时发货·常发中通快递

运费 ¥4 起

7天无理由退货
晚发必赔


颜色

T1189蓝色蝴蝶（中T）",,,,,
1008,"30片单条单码手工法式爱心穿戴甲预制腮红指尖猫眼手工预制甲百搭
100+人已加购
价格
¥
7
.90
登录查看更多优惠
	满200元包邮



浙江金华
送至
选择收货地址


承诺48小时发货·常发中通快递


7天无理由退货
晚发必赔


颜色

K263-XS法式爱心（中椭圆）【全XS码】
库存99989个





K263-S法式爱心（中椭圆）【全S码】
库存99907个





K263-M法式爱心（中椭圆）【全M码】
库存999936个





K264-XS式爱心（短椭圆）【全XS码】商品属性

款式
穿戴式
品牌
海鲤
风格
甜美
适用人群
女士
是否进口
否
产地
浙江
颜色
K263-XS法式爱心（中椭圆）【全XS码】,K263-S法式爱心（中椭圆）【全S码】,K263-M法式爱心（中椭圆）【全M码】,K264-XS式爱心（短椭圆）【全XS码】,K264-S法式爱心（短椭圆）【全S码】,K264-M法式爱心（短椭圆）【全M码】
品牌类型
国货品牌
特殊用途化妆品
否
",,,,,
1009,"单码单条渐变酷黑蝴蝶豆豆甲油胶喷涂预制甲片批发美甲
价格
¥
5
.80
登录查看更多优惠
	满200元包邮



浙江金华
送至
选择收货地址


预计明天发货
承诺48小时发货·常发中通快递

运费 ¥4 起

7天无理由退货
晚发必赔


颜色

K490-M酷黑蝴蝶（豆豆甲）
库存48个





K490-XS酷黑蝴蝶（豆豆甲）商品属性

款式
穿戴式
品牌
海鲤
风格
纯欲
适用人群
通用
图案
猫眼
是否进口
否
产地
浙江
是否跨境出口专供货源
否
颜色
K490-S酷黑蝴蝶（豆豆甲）,K490-M酷黑蝴蝶（豆豆甲）,K490-XS酷黑蝴蝶（豆豆甲）
品牌类型
国货品牌
特殊用途化妆品
否
",,,,,
1010,"【30片】美甲甲片穿戴甲玻璃珠蓝色蝴蝶结半成品延长甲油胶喷涂
商品复购率20.75%200+人已加购
价格
¥
8
.40
起
登录查看更多优惠
	满200元包邮



浙江金华
送至
选择收货地址


承诺48小时发货·常发中通快递

运费 ¥4 起

7天无理由退货
晚发必赔


颜色

K324-M玻璃珠蓝色蝴蝶结（中椭圆）
库存99940个





K324-S玻璃珠蓝色蝴蝶结（中椭圆）
库存99892个





K324-XS玻璃珠蓝色蝴蝶结（中椭圆）
库存99950个





K325-M玻璃珠蓝色蝴蝶结（4.0细狗）款式
穿戴式
品牌
海鲤
风格
甜美,简约
适用人群
女士
是否进口
否
产地
浙江
颜色
K324-M玻璃珠蓝色蝴蝶结（中椭圆）,K324-S玻璃珠蓝色蝴蝶结（中椭圆）,K324-XS玻璃珠蓝色蝴蝶结（中椭圆）,K325-M玻璃珠蓝色蝴蝶结（4.0细狗）,K325-S玻璃珠蓝色蝴蝶结（4.0细狗）,K325-XS玻璃珠蓝色蝴蝶结（4.0细狗）,K332-M玻璃珠蓝色蝴蝶结（长椭圆）,K332-S玻璃珠蓝色蝴蝶结（长椭圆）,K332-XS玻璃珠蓝色蝴蝶结（长椭圆）
品牌类型
国货品牌
特殊用途化妆品
否
",,,,,
